identifier	altId	text	transType	isPunc	isPrimary
40001008002	Asa-1	Asa	k	False	True
40001008003	became-1	became	k	False	False
40001008004	the-1	the	k	False	False
40001008005	father-1	father	k	False	True
40001008006	of-1	of	k	False	False
40001008007	Jehoshaphat-1	Jehoshaphat	k	False	True
40001008008	,-1	,		True	False
40001008009	and-2	and	k	False	True
40001008010	Jehoshaphat-2	Jehoshaphat	k	False	True
40001008011	became-2	became	k	False	False
40001008012	the-2	the	k	False	False
40001008013	father-2	father	k	False	True
40001008014	of-2	of	k	False	False
40001008015	Joram-1	Joram	k	False	True
40001008016	,-2	,		True	False
40001008017	and-2	and	k	False	True
40001008018	Joram-2	Joram	k	False	True
40001008019	became-2	became	k	False	False
40001008020	the-2	the	k	False	False
40001008021	father-2	father	k	False	True
40001008022	of-2	of	k	False	False
40001008023	Uzziah-1	Uzziah	k	False	True
40001008024	,-2	,		True	False
40001009001	and-1	and	k	False	True
40001009002	Uzziah-1	Uzziah	k	False	True
40001009003	became-1	became	k	False	False
40001009004	the-1	the	k	False	False
40001009005	father-1	father	k	False	True
40001009006	of-1	of	k	False	False
40001009007	Jotham-1	Jotham	k	False	True
40001009008	,-1	,		True	False
40001009009	and-2	and	k	False	True
40001009010	Jotham-2	Jotham	k	False	True
40001009011	became-2	became	k	False	False
40001009012	the-2	the	k	False	False
40001009013	father-2	father	k	False	True
40001009014	of-2	of	k	False	False
40001009015	Ahaz-1	Ahaz	k	False	True
40001009016	,-2	,		True	False
40001009017	and-2	and	k	False	True
40001009018	Ahaz-2	Ahaz	k	False	True
40001009019	became-2	became	k	False	False
40001009020	the-2	the	k	False	False
40001009021	father-2	father	k	False	True
40001009022	of-2	of	k	False	False
40001009023	Hezekiah-1	Hezekiah	k	False	True
40001009024	,-2	,		True	False
40001010001	and-1	and	k	False	True
40001010002	Hezekiah-1	Hezekiah	k	False	True
40001010003	became-1	became	k	False	False
40001010004	the-1	the	k	False	False
40001010005	father-1	father	k	False	True
40001010006	of-1	of	k	False	False
40001010007	Manasseh-1	Manasseh	k	False	True
40001010008	,-1	,		True	False
40001010009	and-2	and	k	False	True
40001010010	Manasseh-2	Manasseh	k	False	True
40001010011	became-2	became	k	False	False
40001010012	the-2	the	k	False	False
40001010013	father-2	father	k	False	True
40001010014	of-2	of	k	False	False
40001010015	Amon-1	Amon	k	False	True
40001010016	,-2	,		True	False
40001010017	and-2	and	k	False	True
40001010018	Amon-2	Amon	k	False	True
40001010019	became-2	became	k	False	False
40001010020	the-2	the	k	False	False
40001010021	father-2	father	k	False	True
40001010022	of-2	of	k	False	False
40001010023	Josiah-1	Josiah	k	False	True
40001010024	,-2	,		True	False
40001011001	and-1	and	k	False	True
40001011002	Josiah-1	Josiah	k	False	True
40001011003	became-1	became	k	False	False
40001011004	the-1	the	k	False	False
40001011005	father-1	father	k	False	True
40001011006	of-1	of	k	False	False
40001011007	Jechoniah-1	Jechoniah	k	False	True
40001011008	and-2	and	k	False	True
40001011009	his-1	his	k	False	True
40001011010	brothers-1	brothers	k	False	True
40001011011	,-1	,		True	False
40001011012	at-1	at	k	False	True
40001011013	the-2	the	k	False	False
40001011014	time-1	time	k	False	False
40001011015	of-2	of	k	False	False
40001011016	the-2	the	k	False	True
40001011017	deportation-1	deportation	k	False	True
40001011018	to-1	to	m	False	False
40001011019	Babylon-1	Babylon	k	False	True
40001011020	.-1	.		True	False
40001012001	And-1	And	k	False	True
40001012002	after-1	after	k	False	True
40001012003	the-1	the	k	False	True
40001012004	deportation-1	deportation	k	False	True
40001012005	to-1	to	m	False	False
40001012006	Babylon-1	Babylon	k	False	True
40001012007	,-1	,		True	False
40001012008	Jechoniah-1	Jechoniah	k	False	True
40001012009	became-1	became	k	False	False
40001012010	the-2	the	k	False	False
40001012011	father-1	father	k	False	True
40001012012	of-1	of	k	False	False
40001012013	Shealtiel-1	Shealtiel	k	False	True
40001012014	,-2	,		True	False
40001012015	and-1	and	k	False	True
40001012016	Shealtiel-2	Shealtiel	k	False	True
40001012017	became-2	became	k	False	False
40001012018	the-2	the	k	False	False
40001012019	father-2	father	k	False	True
40001012020	of-2	of	k	False	False
40001012021	Zerubbabel-1	Zerubbabel	k	False	True
40001012022	,-2	,		True	False
40001013001	and-1	and	k	False	True
40001013002	Zerubbabel-1	Zerubbabel	k	False	True
40001013003	became-1	became	k	False	False
40001013004	the-1	the	k	False	False
40001013005	father-1	father	k	False	True
40001013006	of-1	of	k	False	False
40001013007	Abiud-1	Abiud	k	False	True
40001013008	,-1	,		True	False
40001013009	and-2	and	k	False	True
40001013010	Abiud-2	Abiud	k	False	True
40001013011	became-2	became	k	False	False
40001013012	the-2	the	k	False	False
40001013013	father-2	father	k	False	True
40001013014	of-2	of	k	False	False
40001013015	Eliakim-1	Eliakim	k	False	True
40001013016	,-2	,		True	False
40001013017	and-2	and	k	False	True
40001013018	Eliakim-2	Eliakim	k	False	True
40001013019	became-2	became	k	False	False
40001013020	the-2	the	k	False	False
40001013021	father-2	father	k	False	True
40001013022	of-2	of	k	False	False
40001013023	Azor-1	Azor	k	False	True
40001013024	,-2	,		True	False
40001014001	and-1	and	k	False	True
40001014002	Azor-1	Azor	k	False	True
40001014003	became-1	became	k	False	False
40001014004	the-1	the	k	False	False
40001014005	father-1	father	k	False	True
40001014006	of-1	of	k	False	False
40001014007	Zadok-1	Zadok	k	False	True
40001014008	,-1	,		True	False
40001014009	and-2	and	k	False	True
40001014010	Zadok-2	Zadok	k	False	True
40001014011	became-2	became	k	False	False
40001014012	the-2	the	k	False	False
40001014013	father-2	father	k	False	True
40001014014	of-2	of	k	False	False
40001014015	Achim-1	Achim	k	False	True
40001014016	,-2	,		True	False
40001014017	and-2	and	k	False	True
40001014018	Achim-2	Achim	k	False	True
40001014019	became-2	became	k	False	False
40001014020	the-2	the	k	False	False
40001014021	father-2	father	k	False	True
40001014022	of-2	of	k	False	False
40001014023	Eliud-1	Eliud	k	False	True
40001014024	,-2	,		True	False
40001015001	and-1	and	k	False	True
40001015002	Eliud-1	Eliud	k	False	True
40001015003	became-1	became	k	False	False
40001015004	the-1	the	k	False	False
40001015005	father-1	father	k	False	True
40001015006	of-1	of	k	False	False
40001015007	Eleazar-1	Eleazar	k	False	True
40001015008	,-1	,		True	False
40001015009	and-2	and	k	False	True
40001015010	Eleazar-2	Eleazar	k	False	True
40001015011	became-2	became	k	False	False
40001015012	the-2	the	k	False	False
40001015013	father-2	father	k	False	True
40001015014	of-2	of	k	False	False
40001015015	Matthan-1	Matthan	k	False	True
40001015016	,-2	,		True	False
40001015017	and-2	and	k	False	True
40001015018	Matthan-2	Matthan	k	False	True
40001015019	became-2	became	k	False	False
40001015020	the-2	the	k	False	False
40001015021	father-2	father	k	False	True
40001015022	of-2	of	k	False	False
40001015023	Jacob-1	Jacob	k	False	True
40001015024	,-2	,		True	False
40001016001	and-1	and	k	False	True
40001016002	Jacob-1	Jacob	k	False	True
40001016003	became-1	became	k	False	False
40001016004	the-1	the	k	False	False
40001016005	father-1	father	k	False	True
40001016006	of-1	of	k	False	False
40001016007	Joseph-1	Joseph	k	False	True
40001016008	,-1	,		True	False
40001016009	the-2	the	k	False	True
40001016010	husband-1	husband	k	False	True
40001016011	of-2	of	m	False	False
40001016012	Mary-1	Mary	k	False	True
40001016013	by-1	by	k	False	True
40001016014	whom-1	whom	k	False	True
40001016015	was-1	was	m	False	False
40001016016	born-1	born	k	False	True
40001016017	Jesus-1	Jesus	k	False	True
40001016018	,-2	,		True	False
40001016019	who-1	who	m	False	False
40001016020	is-1	is	m	False	False
40001016021	called-1	called	k	False	True
40001016022	Christ-1	Christ	k	False	True
40001016023	.-1	.		True	False
40001017001	Therefore-1	Therefore	k	False	True
40001017002	all-1	all	k	False	True
40001017003	the-1	the	k	False	True
40001017004	generations-1	generations	k	False	True
40001017005	from-1	from	k	False	True
40001017006	Abraham-1	Abraham	k	False	True
40001017007	to-1	to	k	False	True
